ad_number,file_instance_id,file_name,pdf_url,expected_sha256,actual_sha256,expected_page_count,actual_page_count,pdf_bytes,pdf_status,page_text_status,page_text_file,page_text_sha256,extracted_char_count,error,local_pdf
2019-0188,1d1f6357de0f3352,2019-0188__AD_2019-0188_1__EASA_AD_2019_0188.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2019_0188.pdf/AD_2019-0188_1,0ad4199c96e95aa1c46f703a75c10b306fc914be416a84a7a4c5ecf456e318d6,0ad4199c96e95aa1c46f703a75c10b306fc914be416a84a7a4c5ecf456e318d6,3,3,583945,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2019-0188__1d1f6357de0f3352.pages.jsonl,22f87c0e739cad4077d786e691bbef977753732fc9fc1f8cede0d3a85f721cc5,8109,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2019-0188__AD_2019-0188_1__EASA_AD_2019_0188.pdf
2020-0016,5c6e21ab23447af0,2020-0016__AD_2020-0016_1__EASA_AD_2020_0016.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2020_0016.pdf/AD_2020-0016_1,2408ee87eb214d5b09b401ef3ab1137c240ff00e128f6b81fddb3ea2410d83eb,2408ee87eb214d5b09b401ef3ab1137c240ff00e128f6b81fddb3ea2410d83eb,3,3,509238,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2020-0016__5c6e21ab23447af0.pages.jsonl,de7bf0723b3e4182bcdc20db7ed9b7be90647a1bd89ac9c1bda187a82a9edeb2,7447,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2020-0016__AD_2020-0016_1__EASA_AD_2020_0016.pdf
2021-0221,8aaaf372db377584,2021-0221__AD_2021-0221_1__EASA_AD_2021_0221.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2021_0221.pdf/AD_2021-0221_1,9b565f697bd0ec4d6090cee2c07c9ba265545777b3f8c8340211965d6b00d3d5,9b565f697bd0ec4d6090cee2c07c9ba265545777b3f8c8340211965d6b00d3d5,5,5,224770,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2021-0221__8aaaf372db377584.pages.jsonl,a79c2646859e133f8a0c42c943e4f58ee87e733a7d3bb3ef09345a42ecadf1b0,14211,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2021-0221__AD_2021-0221_1__EASA_AD_2021_0221.pdf
2021-0286,a36d7f18af6e7a27,2021-0286__AD_2021-0286_1__EASA_AD_2021_0286.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2021_0286.pdf/AD_2021-0286_1,eeff34d335189fc2617ec67116c20b1d4153dae80bcdbcc1caeac270f862fd35,eeff34d335189fc2617ec67116c20b1d4153dae80bcdbcc1caeac270f862fd35,3,3,199320,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2021-0286__a36d7f18af6e7a27.pages.jsonl,9c1ed83cf5158439b5875cb28a18aada57e2866aca72eb93dda2e8224ba8a7c0,8365,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2021-0286__AD_2021-0286_1__EASA_AD_2021_0286.pdf
2022-0058,772cd84a0961a452,2022-0058__AD_2022-0058_1__EASA_AD_2022_0058.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2022_0058.pdf/AD_2022-0058_1,eda1c5b45401003d8cf8e91dd56fcd9f05f48a7ff2f630dc481e31f48c67aed0,eda1c5b45401003d8cf8e91dd56fcd9f05f48a7ff2f630dc481e31f48c67aed0,6,6,236112,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2022-0058__772cd84a0961a452.pages.jsonl,ece57d298569d30bbc6be82af3cceef62df1c8240b12aab3b2efa85d47ea0631,20169,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2022-0058__AD_2022-0058_1__EASA_AD_2022_0058.pdf
2023-0057,e17febf10e432eb9,2023-0057__AD_2023-0057_1__EASA_AD_2023_0057.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2023_0057.pdf/AD_2023-0057_1,847d36faa95be21809ba3b9d3e5ce62c7b09310c1b3590b482919bee33daec85,847d36faa95be21809ba3b9d3e5ce62c7b09310c1b3590b482919bee33daec85,3,3,208335,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2023-0057__e17febf10e432eb9.pages.jsonl,7f3f49e82d42e47c26b774e9dd6976ba7179f66db700ac5fd80c1f77850df7ad,8980,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2023-0057__AD_2023-0057_1__EASA_AD_2023_0057.pdf
2024-0001,dc59a5a0114b782d,2024-0001__AD_2024-0001_1__EASA_AD_2024_0001.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2024_0001.pdf/AD_2024-0001_1,a916bad7d9b3f498d45d19b3491237cdf0c23acf30c0bd1a542952df85aab5e2,a916bad7d9b3f498d45d19b3491237cdf0c23acf30c0bd1a542952df85aab5e2,4,4,202746,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2024-0001__dc59a5a0114b782d.pages.jsonl,67a23fff88362c4bd6ca679ab021b2b3b74a157663a1667d4e18618acf79743b,10343,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2024-0001__AD_2024-0001_1__EASA_AD_2024_0001.pdf
2025-0138,5762b029d7edbc0c,2025-0138__AD_2025-0138_1__EASA_AD_2025_0138.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2025_0138.pdf/AD_2025-0138_1,022bd207e853740b3b0c57facb7cb105e6ad4cf09c61286b4fa193483835fa93,022bd207e853740b3b0c57facb7cb105e6ad4cf09c61286b4fa193483835fa93,3,3,219408,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2025-0138__5762b029d7edbc0c.pages.jsonl,0c4d77d1d8b447f95f67a6cd099ffa85508e3e7999bff69bc6fa34c3929424fe,8585,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2025-0138__AD_2025-0138_1__EASA_AD_2025_0138.pdf
2025-0181,b0e89b78cd668c9e,2025-0181__AD_2025-0181_1__EASA_AD_2025_0181.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2025_0181.pdf/AD_2025-0181_1,ad4f4e646bfa7d1aff96439c844798e50ed71a891889d13a27954fa326841136,ad4f4e646bfa7d1aff96439c844798e50ed71a891889d13a27954fa326841136,4,4,203290,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2025-0181__b0e89b78cd668c9e.pages.jsonl,bb88ebf10e0de80a68ed6ea786c666df507cc59b8c3f5fd689053334399f35d7,10249,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2025-0181__AD_2025-0181_1__EASA_AD_2025_0181.pdf
2026-0100,34edf2d1b2e65515,2026-0100__AD_2026-0100_1__EASA_AD_2026_0100.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2026_0100.pdf/AD_2026-0100_1,406b267c2650d41e3cd7bbcc7d822d5d37f6fc91aa885b7161b16ba60938e8d5,406b267c2650d41e3cd7bbcc7d822d5d37f6fc91aa885b7161b16ba60938e8d5,4,4,306559,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2026-0100__34edf2d1b2e65515.pages.jsonl,241d6a1275654143621bd9428d93b5349e7431d7e0b58bb3165f6816bf00c44d,10884,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2026-0100__AD_2026-0100_1__EASA_AD_2026_0100.pdf
